date,L3_HCHO_max,L3_HCHO_median,L3_HCHO_min,L3_HCHO_variance,L3_AER_AI_max,L3_AER_AI_median,L3_AER_AI_min,L3_AER_AI_variance,L3_O3_max,L3_O3_median,L3_O3_min,L3_O3_variance,L3_SO2_max,L3_SO2_median,L3_SO2_min,L3_SO2_variance,L3_CO_max,L3_CO_median,L3_CO_min,L3_CO_variance,L3_NO2_max,L3_NO2_median,L3_NO2_min,L3_NO2_variance
2019-12-22,0.0002235841966466,3.983484754892076e-05,-0.0002234741841675,1.372440118816854e-08,-0.7054136991500854,-1.1050196886062622,-1.7018619775772097,0.030009371268717,0.148432932794094,0.1473110550807327,0.1453735530376434,6.56509941354157e-07,9.370722806078696e-05,9.370722522087089e-05,-0.0003550847602693,4.206399790435473e-08,0.0333366416676715,0.0302249260317395,0.0272293911204917,2.623665908446107e-06,5.8178342442261055e-05,5.177912533975655e-05,4.546733232075699e-05,5.175881674830997e-12
2019-12-29,0.0002734024601522,4.306291066026869e-05,-0.000221935173613,1.0350581346265562e-08,-0.4675251960800782,-1.3711820544143802,-1.697026133246113,0.0384041396400306,0.1698873192071914,0.1690992103559121,0.1675164606711103,3.1519460877331804e-07,0.0029741913483174,-9.024265887265242e-05,-0.0008590682409707,5.006066929194251e-07,0.0376304015517234,0.0343538728331741,0.0317741353064775,1.103093196243176e-06,5.831869930261746e-05,5.346107928742363e-05,4.696839278039988e-05,5.6009258480978296e-12
2020-01-05,0.0002354821426706,7.333512700159841e-05,-5.817109571784992e-05,4.520457381237443e-09,-0.6509068608283997,-1.2323860478372568,-1.6070148944854736,0.0492275737093729,0.1731412316619172,0.172044316534161,0.1692375689744949,5.32598170978466e-07,0.001483363565058,0.0005878174570828,-0.0008141691976951,2.462890922739611e-07,0.0364514787920054,0.0346315176151214,0.031166871305303,1.564187396988466e-06,6.527818914037198e-05,5.3351008350942914e-05,4.702824298874475e-05,1.614922014918264e-11
2020-01-12,0.0002930814080173,3.7714578524896e-05,-0.0001407058467356,4.4150258256746896e-09,-0.6967673505663109,-1.0292477381340146,-1.463317682586353,0.0330300399059272,0.1513067339536691,0.1503231212091239,0.1494474118991023,2.372994713295716e-07,0.0017886338755497,8.520826808243741e-05,-0.0009801791748035,4.153966609057972e-07,0.0362955071032047,0.0349011593604072,0.032209089025855,9.61223172437805e-07,5.335562673280947e-05,4.83049958867125e-05,4.288140212039711e-05,3.281684170028105e-12
2020-01-19,0.0002225537609774,3.892820267436193e-05,-3.1181461963569745e-05,2.118241767460417e-09,-0.8412730991840363,-1.2719763892538236,-1.670944522676261,0.032773441847861,0.1515307053923607,0.1504899290181048,0.1495322287082672,2.61064487866589e-07,0.0014131014074021,0.0003446554436336,-0.0005979380075588,2.4029827156405134e-07,0.0357787273131205,0.0339287137368113,0.0321267824620008,5.449718804690703e-07,5.203799082664773e-05,4.751694517539664e-05,4.438802898221184e-05,2.8007364031997963e-12
2020-01-26,0.000168454949744,9.36837543752498e-05,-1.988949588849209e-05,2.3598758806151434e-09,-1.1905717982499746,-1.426913588562186,-1.8112211227416992,0.0346256860971877,0.1447381377220153,0.1425288563251294,0.1411640271544456,1.0787727576470511e-06,0.0012001347495243,0.000237325614613,-0.0003825773245768,1.2646207292715592e-07,0.0357172358781099,0.0336187295615674,0.0310775783679524,1.23852856244589e-06,6.167998797373278e-05,5.382984494504708e-05,4.388924750066084e-05,1.655861745478633e-11
2020-02-02,0.0002841128152795,3.545399996762932e-05,-6.467264756793156e-05,4.248378141588723e-09,-0.7637287446757597,-1.0331722510833958,-1.8007385730743408,0.0215817629925025,0.1573028266429901,0.1540053784847259,0.1498720418579826,3.903057504915314e-06,0.0013237083330756,0.0001751657645901,-0.0009615415474403,3.057421320978424e-07,0.0378460083156824,0.033894695341587,0.0303554292768239,2.9145724756239742e-06,5.750440686824732e-05,5.136400564160568e-05,4.744991383631714e-05,1.0612394079738132e-11
2020-02-09,0.0001476778561482,4.153474618276303e-05,-6.38819306437996e-05,1.752500137477594e-09,-1.1825658082962036,-1.61977583401555,-1.9902717061866837,0.0426308525312108,0.1408929973840713,0.1392312793189989,0.1340585649013519,5.8586273305627415e-06,0.0010362751604345,-8.025337381023496e-06,-0.0004627536227128,5.660114834830357e-08,0.0365890488028526,0.0335569009184838,0.0295495875179767,1.926164547282716e-06,7.921540236566216e-05,6.464014586526902e-05,5.5190457034789326e-05,3.1130923267310585e-11
2020-02-16,0.0001662854898956,3.3819938848445454e-05,-5.457545497463144e-05,2.4226665011963683e-09,-0.9663020968437196,-1.6424419273819213,-1.9951056505750275,0.0406083448577524,0.1531121805310249,0.1520280509130376,0.1506846621632576,2.385205766699668e-07,0.0024731883518321,0.0003788352029493,-0.0005685702199118,2.0720715208427767e-07,0.0372558124363422,0.0350913681263799,0.0325277633965015,1.360744286050722e-06,5.8961792466668445e-05,5.3373599918727074e-05,4.62222560599912e-05,6.535757421941728e-12
2020-02-23,0.0002036944206338,6.018067762896395e-05,-2.9754239910307115e-05,1.5952192386513884e-09,-1.2530564069747925,-1.5645607431763635,-1.758716642856598,0.0166383979011471,0.147316887974739,0.1457125794705451,0.1440160050988197,8.001308519794749e-07,0.0006578778333098,-2.6508810133106565e-06,-0.0005998059566183,1.0740320786829289e-07,0.0379138998687267,0.0345109440386295,0.030107282102108,1.7370362464700275e-06,7.006285159150138e-05,5.909957765289647e-05,5.118077041656666e-05,1.5877769011539682e-11
